date,dayOfWeek,dayOfWeekNumber,minutesAsleep
8/21/2014,Thursday,5,627
8/22/2014,Friday,6,456
8/23/2014,Saturday,7,635
8/24/2014,Sunday,1,806
8/25/2014,Monday,2,378
8/26/2014,Tuesday,3,378
8/27/2014,Wednesday,4,443
8/28/2014,Thursday,5,459
8/29/2014,Friday,6,481
8/30/2014,Saturday,7,493
8/31/2014,Sunday,1,624
9/1/2014,Monday,2,554
9/2/2014,Tuesday,3,447
9/3/2014,Wednesday,4,457
9/4/2014,Thursday,5,450
9/5/2014,Friday,6,450
9/6/2014,Saturday,7,546
9/7/2014,Sunday,1,579
9/8/2014,Monday,2,476
9/10/2014,Wednesday,4,491
9/11/2014,Thursday,5,418
9/12/2014,Friday,6,414
9/13/2014,Saturday,7,511
9/19/2014,Friday,6,441
9/20/2014,Saturday,7,647
9/21/2014,Sunday,1,612
9/22/2014,Monday,2,412
9/23/2014,Tuesday,3,435
9/24/2014,Wednesday,4,410
9/25/2014,Thursday,5,443
9/26/2014,Friday,6,483
9/27/2014,Saturday,7,549
9/28/2014,Sunday,1,606
9/29/2014,Monday,2,519
9/30/2014,Tuesday,3,467
10/1/2014,Wednesday,4,451
10/2/2014,Thursday,5,476
10/3/2014,Friday,6,447
10/4/2014,Saturday,7,202
10/5/2014,Sunday,1,826
10/6/2014,Monday,2,436
10/7/2014,Tuesday,3,478
10/8/2014,Wednesday,4,470
10/9/2014,Thursday,5,426
10/10/2014,Friday,6,440
10/11/2014,Saturday,7,586
10/12/2014,Sunday,1,556
10/13/2014,Monday,2,409
10/14/2014,Tuesday,3,463
10/15/2014,Wednesday,4,469
10/16/2014,Thursday,5,423
10/17/2014,Friday,6,434
10/18/2014,Saturday,7,523
10/19/2014,Sunday,1,590
10/20/2014,Monday,2,412
10/21/2014,Tuesday,3,492
10/22/2014,Wednesday,4,508
10/23/2014,Thursday,5,548
10/24/2014,Friday,6,513
10/25/2014,Saturday,7,550
10/26/2014,Sunday,1,245
10/27/2014,Monday,2,520
10/28/2014,Tuesday,3,442
10/29/2014,Wednesday,4,423
10/30/2014,Thursday,5,430
10/31/2014,Friday,6,425
11/1/2014,Saturday,7,521
11/2/2014,Sunday,1,679
11/3/2014,Monday,2,425
11/4/2014,Tuesday,3,435
11/5/2014,Wednesday,4,439
11/6/2014,Thursday,5,441
11/7/2014,Friday,6,336
11/7/2014,Friday,6,463
11/8/2014,Saturday,7,696
11/9/2014,Sunday,1,621
11/10/2014,Monday,2,470
11/11/2014,Tuesday,3,450
11/12/2014,Wednesday,4,387
11/13/2014,Thursday,5,456
11/14/2014,Friday,6,435
11/15/2014,Saturday,7,247
11/16/2014,Sunday,1,577
11/17/2014,Monday,2,452
11/18/2014,Tuesday,3,484
11/19/2014,Wednesday,4,446
11/20/2014,Thursday,5,492
11/21/2014,Friday,6,428
11/22/2014,Saturday,7,612
11/23/2014,Sunday,1,558
11/24/2014,Monday,2,594
11/25/2014,Tuesday,3,573
11/26/2014,Wednesday,4,568
11/27/2014,Thursday,5,569
11/28/2014,Friday,6,523
11/29/2014,Saturday,7,615
11/30/2014,Sunday,1,505
12/1/2014,Monday,2,414
12/2/2014,Tuesday,3,428
12/3/2014,Wednesday,4,439
12/4/2014,Thursday,5,424
12/5/2014,Friday,6,441
12/6/2014,Saturday,7,678
12/7/2014,Sunday,1,598
12/8/2014,Monday,2,425
12/9/2014,Tuesday,3,481
12/10/2014,Wednesday,4,485
12/11/2014,Thursday,5,478
12/12/2014,Friday,6,455
12/14/2014,Sunday,1,628
12/15/2014,Monday,2,413
12/16/2014,Tuesday,3,450
12/17/2014,Wednesday,4,449
12/18/2014,Thursday,5,405
12/19/2014,Friday,6,452
12/20/2014,Saturday,7,416
12/21/2014,Sunday,1,548
12/23/2014,Tuesday,3,653
12/24/2014,Wednesday,4,592
12/25/2014,Thursday,5,479
12/26/2014,Friday,6,617
12/27/2014,Saturday,7,674
12/28/2014,Sunday,1,674
12/29/2014,Monday,2,616
12/30/2014,Tuesday,3,362
12/30/2014,Tuesday,3,216
12/31/2014,Wednesday,4,321
1/1/2015,Thursday,5,571
1/2/2015,Friday,6,556
1/3/2015,Saturday,7,593
1/4/2015,Sunday,1,672
1/5/2015,Monday,2,401
1/6/2015,Tuesday,3,457
1/7/2015,Wednesday,4,445
1/7/2015,Wednesday,4,427
1/8/2015,Thursday,5,419
1/9/2015,Friday,6,422
1/10/2015,Saturday,7,549
1/11/2015,Sunday,1,568
1/12/2015,Monday,2,449
1/13/2015,Tuesday,3,597
1/14/2015,Wednesday,4,531
1/15/2015,Thursday,5,399
1/16/2015,Friday,6,397
1/18/2015,Sunday,1,530
1/19/2015,Monday,2,636
1/20/2015,Tuesday,3,486
1/21/2015,Wednesday,4,438
1/22/2015,Thursday,5,481
1/23/2015,Friday,6,489
1/24/2015,Saturday,7,508
1/26/2015,Monday,2,480
1/27/2015,Tuesday,3,437
1/28/2015,Wednesday,4,411
1/29/2015,Thursday,5,456
1/31/2015,Saturday,7,510
2/1/2015,Sunday,1,482
2/2/2015,Monday,2,428
2/3/2015,Tuesday,3,451
2/4/2015,Wednesday,4,462
2/5/2015,Thursday,5,418
2/6/2015,Friday,6,438
2/9/2015,Monday,2,485
2/10/2015,Tuesday,3,806
2/11/2015,Wednesday,4,422
2/12/2015,Thursday,5,508
2/13/2015,Friday,6,774
2/15/2015,Sunday,1,589
2/16/2015,Monday,2,822
2/17/2015,Tuesday,3,418
2/18/2015,Wednesday,4,477
2/19/2015,Thursday,5,450
2/20/2015,Friday,6,439
2/21/2015,Saturday,7,612
2/22/2015,Sunday,1,650
2/23/2015,Monday,2,416
2/24/2015,Tuesday,3,465
2/25/2015,Wednesday,4,445
2/26/2015,Thursday,5,467
2/27/2015,Friday,6,454
2/28/2015,Saturday,7,564
3/1/2015,Sunday,1,611
3/2/2015,Monday,2,423
3/3/2015,Tuesday,3,430
3/4/2015,Wednesday,4,437
3/5/2015,Thursday,5,443
3/6/2015,Friday,6,491
3/7/2015,Saturday,7,504
3/8/2015,Sunday,1,636
3/9/2015,Monday,2,479
3/11/2015,Wednesday,4,447
3/12/2015,Thursday,5,456
3/13/2015,Friday,6,474
3/14/2015,Saturday,7,546
3/15/2015,Sunday,1,534
3/16/2015,Monday,2,458
3/17/2015,Tuesday,3,477
3/18/2015,Wednesday,4,443
3/19/2015,Thursday,5,463
3/20/2015,Friday,6,469
3/21/2015,Saturday,7,603
3/22/2015,Sunday,1,578
3/24/2015,Tuesday,3,433
3/25/2015,Wednesday,4,450
3/26/2015,Thursday,5,543
3/27/2015,Friday,6,471
3/31/2015,Tuesday,3,527
4/1/2015,Wednesday,4,607
4/2/2015,Thursday,5,482
4/3/2015,Friday,6,585
4/4/2015,Saturday,7,668
4/5/2015,Sunday,1,530
4/6/2015,Monday,2,0
4/6/2015,Monday,2,391
4/7/2015,Tuesday,3,436
4/8/2015,Wednesday,4,758
4/11/2015,Saturday,7,541
4/12/2015,Sunday,1,584
4/13/2015,Monday,2,446
4/14/2015,Tuesday,3,433
4/15/2015,Wednesday,4,456
4/16/2015,Thursday,5,423
4/17/2015,Friday,6,455
4/18/2015,Saturday,7,574
4/19/2015,Sunday,1,547
4/20/2015,Monday,2,400
4/21/2015,Tuesday,3,505
4/22/2015,Wednesday,4,436
4/23/2015,Thursday,5,444
4/24/2015,Friday,6,463
4/25/2015,Saturday,7,609
4/26/2015,Sunday,1,520
4/27/2015,Monday,2,437
4/28/2015,Tuesday,3,452
4/29/2015,Wednesday,4,396
4/30/2015,Thursday,5,411
5/1/2015,Friday,6,409
5/2/2015,Saturday,7,474
5/3/2015,Sunday,1,533
5/4/2015,Monday,2,444
5/5/2015,Tuesday,3,409
5/6/2015,Wednesday,4,473
5/7/2015,Thursday,5,423
5/8/2015,Friday,6,446
5/9/2015,Saturday,7,581
5/10/2015,Sunday,1,636
5/11/2015,Monday,2,424
5/12/2015,Tuesday,3,493
5/13/2015,Wednesday,4,440
5/14/2015,Thursday,5,423
5/15/2015,Friday,6,460
5/16/2015,Saturday,7,671
5/17/2015,Sunday,1,525
5/18/2015,Monday,2,433
5/19/2015,Tuesday,3,486
5/20/2015,Wednesday,4,469
5/21/2015,Thursday,5,808
5/22/2015,Friday,6,471
5/23/2015,Saturday,7,595
5/24/2015,Sunday,1,621
5/25/2015,Monday,2,610
5/26/2015,Tuesday,3,417
5/27/2015,Wednesday,4,444
5/28/2015,Thursday,5,433
5/29/2015,Friday,6,462
5/30/2015,Saturday,7,566
5/31/2015,Sunday,1,550
6/1/2015,Monday,2,423
6/2/2015,Tuesday,3,440
6/3/2015,Wednesday,4,443
6/4/2015,Thursday,5,468
7/24/2015,Friday,6,541
7/25/2015,Saturday,7,496
7/26/2015,Sunday,1,559
7/27/2015,Monday,2,459
7/28/2015,Tuesday,3,536
7/29/2015,Wednesday,4,466
7/30/2015,Thursday,5,429
7/31/2015,Friday,6,440
8/1/2015,Saturday,7,478
8/2/2015,Sunday,1,295
8/17/2015,Monday,2,520
8/20/2015,Thursday,5,492
8/21/2015,Friday,6,436
8/22/2015,Saturday,7,377
8/23/2015,Sunday,1,429
8/24/2015,Monday,2,413
8/25/2015,Tuesday,3,783
8/26/2015,Wednesday,4,391
8/27/2015,Thursday,5,411
8/29/2015,Saturday,7,532
8/29/2015,Saturday,7,503
8/30/2015,Sunday,1,484
8/31/2015,Monday,2,441
9/1/2015,Tuesday,3,436
9/2/2015,Wednesday,4,521
9/3/2015,Thursday,5,438
9/4/2015,Friday,6,393
9/5/2015,Saturday,7,524
9/6/2015,Sunday,1,577
9/7/2015,Monday,2,509
9/8/2015,Tuesday,3,483
9/9/2015,Wednesday,4,823
9/10/2015,Thursday,5,438
10/11/2015,Sunday,1,478
10/12/2015,Monday,2,446
10/13/2015,Tuesday,3,415
10/14/2015,Wednesday,4,408
10/15/2015,Thursday,5,374
10/16/2015,Friday,6,471
10/17/2015,Saturday,7,557
11/7/2015,Saturday,7,480
11/8/2015,Sunday,1,636
11/9/2015,Monday,2,402
11/10/2015,Tuesday,3,382
11/11/2015,Wednesday,4,401
11/12/2015,Thursday,5,372
11/13/2015,Friday,6,441
11/14/2015,Saturday,7,526
11/15/2015,Sunday,1,647
11/16/2015,Monday,2,400
11/17/2015,Tuesday,3,445
11/18/2015,Wednesday,4,374
11/19/2015,Thursday,5,389
11/20/2015,Friday,6,408
12/30/2015,Wednesday,4,589
12/31/2015,Thursday,5,617
1/1/2016,Friday,6,475
1/2/2016,Saturday,7,639
1/3/2016,Sunday,1,538
1/4/2016,Monday,2,360
1/5/2016,Tuesday,3,354
1/6/2016,Wednesday,4,383
1/7/2016,Thursday,5,435
1/8/2016,Friday,6,794
2/3/2016,Wednesday,4,438
2/4/2016,Thursday,5,435
2/5/2016,Friday,6,373
2/6/2016,Saturday,7,422
2/7/2016,Sunday,1,508
2/8/2016,Monday,2,549
2/9/2016,Tuesday,3,681
2/10/2016,Wednesday,4,553
2/18/2016,Thursday,5,422
2/19/2016,Friday,6,382
2/20/2016,Saturday,7,600
2/21/2016,Sunday,1,657
2/22/2016,Monday,2,361
2/23/2016,Tuesday,3,380
2/24/2016,Wednesday,4,399
2/25/2016,Thursday,5,386
3/20/2016,Sunday,1,681
3/21/2016,Monday,2,383
3/22/2016,Tuesday,3,381
3/23/2016,Wednesday,4,451
3/24/2016,Thursday,5,589
3/25/2016,Friday,6,592
3/26/2016,Saturday,7,595
3/27/2016,Sunday,1,687
3/28/2016,Monday,2,540
3/29/2016,Tuesday,3,682
3/30/2016,Wednesday,4,672
3/31/2016,Thursday,5,585
4/1/2016,Friday,6,382
4/2/2016,Saturday,7,607
4/3/2016,Sunday,1,583
4/4/2016,Monday,2,375
4/5/2016,Tuesday,3,292
4/6/2016,Wednesday,4,416
4/8/2016,Friday,6,384
4/9/2016,Saturday,7,581
4/10/2016,Sunday,1,325
4/11/2016,Monday,2,355
4/12/2016,Tuesday,3,396
4/13/2016,Wednesday,4,448
4/14/2016,Thursday,5,402
4/25/2016,Monday,2,405
4/26/2016,Tuesday,3,388
4/27/2016,Wednesday,4,444
4/28/2016,Thursday,5,392
4/29/2016,Friday,6,430
4/30/2016,Saturday,7,576
5/1/2016,Sunday,1,713
5/2/2016,Monday,2,433
5/3/2016,Tuesday,3,446
5/4/2016,Wednesday,4,404
5/5/2016,Thursday,5,408
5/6/2016,Friday,6,386
5/7/2016,Saturday,7,326
5/8/2016,Sunday,1,571
5/9/2016,Monday,2,372
12/26/2016,Monday,2,554
12/27/2016,Tuesday,3,420
12/28/2016,Wednesday,4,542
12/29/2016,Thursday,5,831
12/30/2016,Friday,6,549
12/31/2016,Saturday,7,542
1/1/2017,Sunday,1,555
1/2/2017,Monday,2,632
2/23/2017,Thursday,5,391
2/24/2017,Friday,6,401
2/25/2017,Saturday,7,474
2/26/2017,Sunday,1,626
2/27/2017,Monday,2,302
2/27/2017,Monday,2,451
2/28/2017,Tuesday,3,445
