date,dayOfWeek,dayOfWeekNumber,minutesAsleep
4/15/2014,Tuesday,3,368
4/17/2014,Thursday,5,335
4/18/2014,Friday,6,374
4/19/2014,Saturday,7,166
4/19/2014,Saturday,7,477
4/20/2014,Sunday,1,419
4/21/2014,Monday,2,356
4/22/2014,Tuesday,3,298
4/23/2014,Wednesday,4,359
4/24/2014,Thursday,5,335
4/25/2014,Friday,6,49
4/25/2014,Friday,6,351
4/26/2014,Saturday,7,254
4/27/2014,Sunday,1,482
4/28/2014,Monday,2,382
4/29/2014,Tuesday,3,312
4/30/2014,Wednesday,4,349
5/1/2014,Thursday,5,322
5/2/2014,Friday,6,323
5/4/2014,Sunday,1,436
5/5/2014,Monday,2,369
5/6/2014,Tuesday,3,292
5/7/2014,Wednesday,4,342
5/8/2014,Thursday,5,282
5/9/2014,Friday,6,313
5/10/2014,Saturday,7,312
5/11/2014,Sunday,1,389
5/12/2014,Monday,2,0
5/12/2014,Monday,2,318
5/13/2014,Tuesday,3,324
5/14/2014,Wednesday,4,376
5/15/2014,Thursday,5,672
5/17/2014,Saturday,7,365
5/18/2014,Sunday,1,525
5/19/2014,Monday,2,356
5/21/2014,Wednesday,4,317
5/22/2014,Thursday,5,316
5/23/2014,Friday,6,304
5/24/2014,Saturday,7,406
5/25/2014,Sunday,1,357
5/26/2014,Monday,2,472
5/27/2014,Tuesday,3,363
5/28/2014,Wednesday,4,393
5/29/2014,Thursday,5,384
5/30/2014,Friday,6,340
5/31/2014,Saturday,7,396
6/1/2014,Sunday,1,321
6/2/2014,Monday,2,367
6/3/2014,Tuesday,3,371
6/4/2014,Wednesday,4,290
6/6/2014,Friday,6,381
6/7/2014,Saturday,7,434
6/9/2014,Monday,2,277
6/10/2014,Tuesday,3,421
6/11/2014,Wednesday,4,362
6/12/2014,Thursday,5,319
6/13/2014,Friday,6,382
6/14/2014,Saturday,7,532
6/15/2014,Sunday,1,403
6/16/2014,Monday,2,277
6/18/2014,Wednesday,4,343
6/19/2014,Thursday,5,389
6/21/2014,Saturday,7,539
6/22/2014,Sunday,1,416
6/23/2014,Monday,2,355
6/24/2014,Tuesday,3,329
6/25/2014,Wednesday,4,349
6/26/2014,Thursday,5,359
6/27/2014,Friday,6,382
6/28/2014,Saturday,7,353
6/29/2014,Sunday,1,431
6/30/2014,Monday,2,375
7/1/2014,Tuesday,3,381
7/2/2014,Wednesday,4,339
7/3/2014,Thursday,5,314
7/4/2014,Friday,6,459
7/5/2014,Saturday,7,301
7/6/2014,Sunday,1,377
7/7/2014,Monday,2,316
7/8/2014,Tuesday,3,389
7/9/2014,Wednesday,4,295
7/10/2014,Thursday,5,406
7/11/2014,Friday,6,392
7/12/2014,Saturday,7,423
7/13/2014,Sunday,1,350
7/14/2014,Monday,2,284
7/15/2014,Tuesday,3,329
7/16/2014,Wednesday,4,334
7/17/2014,Thursday,5,357
7/18/2014,Friday,6,376
7/19/2014,Saturday,7,437
7/20/2014,Sunday,1,386
7/21/2014,Monday,2,345
7/22/2014,Tuesday,3,410
7/23/2014,Wednesday,4,380
7/24/2014,Thursday,5,358
7/25/2014,Friday,6,385
7/26/2014,Saturday,7,376
7/27/2014,Sunday,1,340
7/29/2014,Tuesday,3,358
7/30/2014,Wednesday,4,448
7/31/2014,Thursday,5,367
8/2/2014,Saturday,7,391
8/3/2014,Sunday,1,449
8/4/2014,Monday,2,409
8/5/2014,Tuesday,3,319
8/6/2014,Wednesday,4,308
8/7/2014,Thursday,5,279
8/9/2014,Saturday,7,430
8/10/2014,Sunday,1,442
8/11/2014,Monday,2,386
8/12/2014,Tuesday,3,341
8/13/2014,Wednesday,4,334
8/14/2014,Thursday,5,492
8/15/2014,Friday,6,457
8/17/2014,Sunday,1,576
8/18/2014,Monday,2,109
8/18/2014,Monday,2,337
8/20/2014,Wednesday,4,397
8/21/2014,Thursday,5,332
8/22/2014,Friday,6,345
8/24/2014,Sunday,1,386
8/25/2014,Monday,2,312
8/26/2014,Tuesday,3,296
8/27/2014,Wednesday,4,355
8/28/2014,Thursday,5,382
8/29/2014,Friday,6,339
8/30/2014,Saturday,7,29
8/30/2014,Saturday,7,429
8/31/2014,Sunday,1,451
9/2/2014,Tuesday,3,333
9/3/2014,Wednesday,4,384
9/4/2014,Thursday,5,961
9/5/2014,Friday,6,961
9/6/2014,Saturday,7,397
9/8/2014,Monday,2,327
9/9/2014,Tuesday,3,359
9/10/2014,Wednesday,4,445
9/11/2014,Thursday,5,361
9/13/2014,Saturday,7,450
9/14/2014,Sunday,1,482
9/16/2014,Tuesday,3,390
9/17/2014,Wednesday,4,372
9/18/2014,Thursday,5,390
9/21/2014,Sunday,1,571
9/23/2014,Tuesday,3,394
9/26/2014,Friday,6,546
9/27/2014,Saturday,7,492
9/28/2014,Sunday,1,434
9/30/2014,Tuesday,3,359
10/1/2014,Wednesday,4,371
10/4/2014,Saturday,7,376
10/6/2014,Monday,2,317
10/7/2014,Tuesday,3,362
10/8/2014,Wednesday,4,391
10/11/2014,Saturday,7,367
10/12/2014,Sunday,1,521
10/13/2014,Monday,2,302
10/14/2014,Tuesday,3,348
10/15/2014,Wednesday,4,437
10/16/2014,Thursday,5,388
10/17/2014,Friday,6,368
10/18/2014,Saturday,7,496
10/19/2014,Sunday,1,304
10/20/2014,Monday,2,307
10/21/2014,Tuesday,3,63
10/21/2014,Tuesday,3,383
10/22/2014,Wednesday,4,468
10/23/2014,Thursday,5,290
10/25/2014,Saturday,7,448
10/26/2014,Sunday,1,330
10/27/2014,Monday,2,43
10/30/2014,Thursday,5,352
10/31/2014,Friday,6,340
11/1/2014,Saturday,7,509
11/2/2014,Sunday,1,557
11/3/2014,Monday,2,318
11/5/2014,Wednesday,4,313
11/7/2014,Friday,6,402
11/10/2014,Monday,2,322
11/11/2014,Tuesday,3,324
11/12/2014,Wednesday,4,374
11/13/2014,Thursday,5,429
11/14/2014,Friday,6,289
11/15/2014,Saturday,7,296
11/16/2014,Sunday,1,339
11/17/2014,Monday,2,22
11/17/2014,Monday,2,257
11/19/2014,Wednesday,4,346
11/20/2014,Thursday,5,395
11/22/2014,Saturday,7,435
11/24/2014,Monday,2,413
11/25/2014,Tuesday,3,387
11/26/2014,Wednesday,4,383
11/28/2014,Friday,6,427
11/29/2014,Saturday,7,374
11/30/2014,Sunday,1,395
12/1/2014,Monday,2,327
12/2/2014,Tuesday,3,147
12/3/2014,Wednesday,4,303
12/6/2014,Saturday,7,442
12/7/2014,Sunday,1,429
12/8/2014,Monday,2,358
12/9/2014,Tuesday,3,300
12/10/2014,Wednesday,4,395
12/11/2014,Thursday,5,359
12/13/2014,Saturday,7,410
12/14/2014,Sunday,1,400
12/15/2014,Monday,2,376
12/16/2014,Tuesday,3,248
12/17/2014,Wednesday,4,32
12/17/2014,Wednesday,4,353
12/19/2014,Friday,6,337
12/21/2014,Sunday,1,416
12/22/2014,Monday,2,433
12/23/2014,Tuesday,3,219
12/23/2014,Tuesday,3,417
12/24/2014,Wednesday,4,475
12/25/2014,Thursday,5,496
12/26/2014,Friday,6,382
12/27/2014,Saturday,7,337
12/28/2014,Sunday,1,443
12/29/2014,Monday,2,616
12/30/2014,Tuesday,3,368
1/1/2015,Thursday,5,407
1/2/2015,Friday,6,535
1/3/2015,Saturday,7,204
1/3/2015,Saturday,7,306
1/6/2015,Tuesday,3,313
1/7/2015,Wednesday,4,786
1/8/2015,Thursday,5,299
1/9/2015,Friday,6,310
1/13/2015,Tuesday,3,401
1/14/2015,Wednesday,4,441
1/19/2015,Monday,2,391
1/20/2015,Tuesday,3,355
1/21/2015,Wednesday,4,232
1/22/2015,Thursday,5,397
1/23/2015,Friday,6,346
1/24/2015,Saturday,7,403
1/26/2015,Monday,2,10
1/26/2015,Monday,2,352
1/28/2015,Wednesday,4,300
1/29/2015,Thursday,5,295
1/31/2015,Saturday,7,373
2/1/2015,Sunday,1,462
2/2/2015,Monday,2,342
2/4/2015,Wednesday,4,366
2/5/2015,Thursday,5,419
2/6/2015,Friday,6,295
2/7/2015,Saturday,7,403
2/8/2015,Sunday,1,58
2/8/2015,Sunday,1,337
2/10/2015,Tuesday,3,366
2/11/2015,Wednesday,4,839
2/12/2015,Thursday,5,312
2/13/2015,Friday,6,366
2/14/2015,Saturday,7,376
2/15/2015,Sunday,1,418
2/16/2015,Monday,2,369
2/17/2015,Tuesday,3,328
2/18/2015,Wednesday,4,297
2/19/2015,Thursday,5,379
2/20/2015,Friday,6,8
2/20/2015,Friday,6,316
2/21/2015,Saturday,7,16
2/22/2015,Sunday,1,368
2/26/2015,Thursday,5,14
2/26/2015,Thursday,5,14
2/26/2015,Thursday,5,321
2/26/2015,Thursday,5,280
2/28/2015,Saturday,7,426
3/1/2015,Sunday,1,372
3/2/2015,Monday,2,317
3/3/2015,Tuesday,3,295
3/4/2015,Wednesday,4,291
3/5/2015,Thursday,5,279
3/6/2015,Friday,6,255
3/8/2015,Sunday,1,334
3/9/2015,Monday,2,302
3/10/2015,Tuesday,3,351
3/11/2015,Wednesday,4,336
3/12/2015,Thursday,5,84
3/13/2015,Friday,6,383
3/14/2015,Saturday,7,398
3/17/2015,Tuesday,3,391
3/18/2015,Wednesday,4,335
3/20/2015,Friday,6,304
3/21/2015,Saturday,7,201
3/22/2015,Sunday,1,383
3/23/2015,Monday,2,340
3/24/2015,Tuesday,3,318
3/26/2015,Thursday,5,338
3/27/2015,Friday,6,315
3/30/2015,Monday,2,249
3/30/2015,Monday,2,393
3/31/2015,Tuesday,3,287
4/1/2015,Wednesday,4,379
4/2/2015,Thursday,5,340
4/3/2015,Friday,6,387
4/5/2015,Sunday,1,452
4/6/2015,Monday,2,290
4/7/2015,Tuesday,3,363
4/8/2015,Wednesday,4,312
4/9/2015,Thursday,5,349
4/11/2015,Saturday,7,471
