date,dayOfWeek,dayOfWeekNumber,steps
2/28/2014,Friday,6,17103
3/1/2014,Saturday,7,3719
3/2/2014,Sunday,1,4517
3/3/2014,Monday,2,8723
3/4/2014,Tuesday,3,9922
3/5/2014,Wednesday,4,8690
3/6/2014,Thursday,5,12415
3/7/2014,Friday,6,8199
3/8/2014,Saturday,7,6063
3/9/2014,Sunday,1,8415
3/10/2014,Monday,2,8181
3/11/2014,Tuesday,3,6451
3/12/2014,Wednesday,4,7021
3/13/2014,Thursday,5,5032
3/14/2014,Friday,6,12346
3/15/2014,Saturday,7,4226
3/16/2014,Sunday,1,9527
3/17/2014,Monday,2,7415
3/18/2014,Tuesday,3,10972
3/19/2014,Wednesday,4,9661
3/20/2014,Thursday,5,6951
3/21/2014,Friday,6,5374
3/22/2014,Saturday,7,11825
3/23/2014,Sunday,1,12271
3/24/2014,Monday,2,5527
3/25/2014,Tuesday,3,9571
3/26/2014,Wednesday,4,7257
3/27/2014,Thursday,5,10403
3/28/2014,Friday,6,9625
3/29/2014,Saturday,7,7273
3/30/2014,Sunday,1,4886
3/31/2014,Monday,2,4999
4/1/2014,Tuesday,3,6098
4/2/2014,Wednesday,4,5038
4/3/2014,Thursday,5,8822
4/4/2014,Friday,6,7103
4/5/2014,Saturday,7,9888
4/6/2014,Sunday,1,11960
4/7/2014,Monday,2,6007
4/8/2014,Tuesday,3,8983
4/9/2014,Wednesday,4,6697
4/10/2014,Thursday,5,7478
4/11/2014,Friday,6,668
4/12/2014,Saturday,7,11177
4/13/2014,Sunday,1,10833
4/14/2014,Monday,2,10459
4/15/2014,Tuesday,3,6946
4/16/2014,Wednesday,4,6822
4/17/2014,Thursday,5,6825
4/18/2014,Friday,6,5845
4/19/2014,Saturday,7,10859
4/20/2014,Sunday,1,7337
4/21/2014,Monday,2,7471
4/22/2014,Tuesday,3,16766
4/23/2014,Wednesday,4,6787
4/24/2014,Thursday,5,14316
4/25/2014,Friday,6,11400
4/26/2014,Saturday,7,7348
4/27/2014,Sunday,1,10159
4/28/2014,Monday,2,10839
4/29/2014,Tuesday,3,13124
4/30/2014,Wednesday,4,14509
5/1/2014,Thursday,5,7292
5/2/2014,Friday,6,5020
5/3/2014,Saturday,7,9135
5/4/2014,Sunday,1,9589
5/5/2014,Monday,2,12175
5/6/2014,Tuesday,3,5200
5/7/2014,Wednesday,4,6662
5/8/2014,Thursday,5,8897
5/9/2014,Friday,6,8707
5/10/2014,Saturday,7,6418
5/11/2014,Sunday,1,11712
5/12/2014,Monday,2,11537
5/13/2014,Tuesday,3,8759
5/14/2014,Wednesday,4,6204
5/15/2014,Thursday,5,5688
5/16/2014,Friday,6,9104
5/17/2014,Saturday,7,11918
5/18/2014,Sunday,1,10727
5/19/2014,Monday,2,11114
5/20/2014,Tuesday,3,9570
5/21/2014,Wednesday,4,6394
5/22/2014,Thursday,5,5626
5/23/2014,Friday,6,6507
5/24/2014,Saturday,7,10581
5/25/2014,Sunday,1,8153
5/26/2014,Monday,2,10436
5/27/2014,Tuesday,3,11729
5/28/2014,Wednesday,4,13466
5/29/2014,Thursday,5,11630
5/30/2014,Friday,6,6273
5/31/2014,Saturday,7,7133
6/1/2014,Sunday,1,9011
6/2/2014,Monday,2,9888
6/3/2014,Tuesday,3,8028
6/4/2014,Wednesday,4,8331
6/5/2014,Thursday,5,16141
6/6/2014,Friday,6,10577
6/7/2014,Saturday,7,12647
6/8/2014,Sunday,1,5235
6/9/2014,Monday,2,4169
6/10/2014,Tuesday,3,5409
6/11/2014,Wednesday,4,9646
6/12/2014,Thursday,5,11000
6/13/2014,Friday,6,7126
6/14/2014,Saturday,7,9296
6/15/2014,Sunday,1,8180
6/16/2014,Monday,2,10430
6/17/2014,Tuesday,3,10471
6/18/2014,Wednesday,4,9294
6/19/2014,Thursday,5,7827
6/20/2014,Friday,6,7942
6/21/2014,Saturday,7,10045
6/22/2014,Sunday,1,10737
6/23/2014,Monday,2,11705
6/24/2014,Tuesday,3,7853
6/25/2014,Wednesday,4,6724
6/26/2014,Thursday,5,10267
6/27/2014,Friday,6,8336
6/28/2014,Saturday,7,5101
6/29/2014,Sunday,1,5808
6/30/2014,Monday,2,13578
7/1/2014,Tuesday,3,10711
7/2/2014,Wednesday,4,7945
7/3/2014,Thursday,5,7606
7/4/2014,Friday,6,7536
7/5/2014,Saturday,7,7848
7/6/2014,Sunday,1,8474
7/7/2014,Monday,2,6393
7/8/2014,Tuesday,3,11670
7/9/2014,Wednesday,4,10107
7/10/2014,Thursday,5,10472
7/11/2014,Friday,6,8448
7/12/2014,Saturday,7,11687
7/13/2014,Sunday,1,6696
7/14/2014,Monday,2,9207
7/15/2014,Tuesday,3,10196
7/16/2014,Wednesday,4,14103
7/17/2014,Thursday,5,6083
7/18/2014,Friday,6,5553
7/19/2014,Saturday,7,7884
7/20/2014,Sunday,1,7832
7/21/2014,Monday,2,14033
7/22/2014,Tuesday,3,11101
7/23/2014,Wednesday,4,8276
7/24/2014,Thursday,5,6748
7/25/2014,Friday,6,9195
7/26/2014,Saturday,7,5802
7/27/2014,Sunday,1,10726
7/28/2014,Monday,2,12938
7/29/2014,Tuesday,3,9733
7/30/2014,Wednesday,4,5300
7/31/2014,Thursday,5,4410
8/1/2014,Friday,6,4889
8/2/2014,Saturday,7,16266
8/3/2014,Sunday,1,16027
8/4/2014,Monday,2,1867
8/5/2014,Tuesday,3,6747
8/6/2014,Wednesday,4,6452
8/7/2014,Thursday,5,5119
8/8/2014,Friday,6,9318
8/9/2014,Saturday,7,8885
8/10/2014,Sunday,1,17455
8/11/2014,Monday,2,10345
8/12/2014,Tuesday,3,10298
8/13/2014,Wednesday,4,10843
8/14/2014,Thursday,5,10371
8/15/2014,Friday,6,15966
8/16/2014,Saturday,7,8760
8/17/2014,Sunday,1,8618
8/18/2014,Monday,2,10475
8/19/2014,Tuesday,3,20150
8/20/2014,Wednesday,4,12220
8/21/2014,Thursday,5,5362
8/22/2014,Friday,6,11529
8/23/2014,Saturday,7,10268
8/24/2014,Sunday,1,7341
8/25/2014,Monday,2,10840
8/26/2014,Tuesday,3,3857
8/27/2014,Wednesday,4,10454
8/28/2014,Thursday,5,13615
8/29/2014,Friday,6,9627
8/30/2014,Saturday,7,6307
8/31/2014,Sunday,1,7691
9/1/2014,Monday,2,10534
9/2/2014,Tuesday,3,4220
9/3/2014,Wednesday,4,5390
9/4/2014,Thursday,5,5911
9/5/2014,Friday,6,5030
9/6/2014,Saturday,7,7774
9/7/2014,Sunday,1,11379
9/8/2014,Monday,2,5819
9/9/2014,Tuesday,3,8281
9/10/2014,Wednesday,4,11224
9/11/2014,Thursday,5,10640
9/12/2014,Friday,6,8057
9/13/2014,Saturday,7,4944
9/14/2014,Sunday,1,5204
9/15/2014,Monday,2,5891
9/16/2014,Tuesday,3,7053
9/17/2014,Wednesday,4,4918
9/18/2014,Thursday,5,5671
9/19/2014,Friday,6,5390
9/20/2014,Saturday,7,16832
9/21/2014,Sunday,1,16092
9/22/2014,Monday,2,9507
9/23/2014,Tuesday,3,9144
9/24/2014,Wednesday,4,7883
9/25/2014,Thursday,5,7341
9/26/2014,Friday,6,5082
9/27/2014,Saturday,7,4112
9/28/2014,Sunday,1,11075
9/29/2014,Monday,2,12087
9/30/2014,Tuesday,3,8295
10/1/2014,Wednesday,4,14732
10/2/2014,Thursday,5,6372
10/3/2014,Friday,6,8640
10/4/2014,Saturday,7,9611
10/5/2014,Sunday,1,5241
10/6/2014,Monday,2,9443
10/7/2014,Tuesday,3,6225
10/8/2014,Wednesday,4,7874
10/9/2014,Thursday,5,5129
10/10/2014,Friday,6,6218
10/11/2014,Saturday,7,1058
10/12/2014,Sunday,1,9505
10/13/2014,Monday,2,6320
10/14/2014,Tuesday,3,8228
10/15/2014,Wednesday,4,11422
10/16/2014,Thursday,5,6806
10/17/2014,Friday,6,7369
10/18/2014,Saturday,7,4895
10/19/2014,Sunday,1,12137
10/20/2014,Monday,2,5074
10/21/2014,Tuesday,3,9417
10/22/2014,Wednesday,4,3388
10/23/2014,Thursday,5,2981
10/24/2014,Friday,6,5343
10/25/2014,Saturday,7,11018
10/26/2014,Sunday,1,23876
10/27/2014,Monday,2,11311
10/28/2014,Tuesday,3,7007
10/29/2014,Wednesday,4,11460
10/30/2014,Thursday,5,4300
10/31/2014,Friday,6,9076
11/1/2014,Saturday,7,7838
11/2/2014,Sunday,1,8605
11/3/2014,Monday,2,7710
11/4/2014,Tuesday,3,7116
11/5/2014,Wednesday,4,7976
11/6/2014,Thursday,5,7973
11/7/2014,Friday,6,8517
11/8/2014,Saturday,7,7221
11/9/2014,Sunday,1,10694
11/10/2014,Monday,2,6780
11/11/2014,Tuesday,3,8052
11/12/2014,Wednesday,4,6300
11/13/2014,Thursday,5,7313
11/14/2014,Friday,6,10847
11/15/2014,Saturday,7,3952
11/16/2014,Sunday,1,15411
11/17/2014,Monday,2,6389
11/18/2014,Tuesday,3,8554
11/19/2014,Wednesday,4,7382
11/20/2014,Thursday,5,10103
11/21/2014,Friday,6,15375
11/22/2014,Saturday,7,4111
11/23/2014,Sunday,1,11184
11/24/2014,Monday,2,9749
11/25/2014,Tuesday,3,9113
11/26/2014,Wednesday,4,11342
11/27/2014,Thursday,5,7981
11/28/2014,Friday,6,8126
11/29/2014,Saturday,7,2906
11/30/2014,Sunday,1,6111
12/1/2014,Monday,2,5557
12/2/2014,Tuesday,3,6603
12/3/2014,Wednesday,4,10723
12/4/2014,Thursday,5,5900
12/5/2014,Friday,6,25514
12/6/2014,Saturday,7,14327
12/7/2014,Sunday,1,7787
12/8/2014,Monday,2,7288
12/9/2014,Tuesday,3,6891
12/10/2014,Wednesday,4,9138
12/11/2014,Thursday,5,6905
12/12/2014,Friday,6,5780
12/13/2014,Saturday,7,6233
12/14/2014,Sunday,1,8641
12/15/2014,Monday,2,7460
12/16/2014,Tuesday,3,4077
12/17/2014,Wednesday,4,8650
12/18/2014,Thursday,5,4093
12/19/2014,Friday,6,10835
12/20/2014,Saturday,7,8818
12/21/2014,Sunday,1,14283
12/22/2014,Monday,2,7813
12/23/2014,Tuesday,3,5564
12/24/2014,Wednesday,4,7292
12/25/2014,Thursday,5,7071
12/26/2014,Friday,6,7854
12/27/2014,Saturday,7,5172
12/28/2014,Sunday,1,11021
12/29/2014,Monday,2,8666
12/30/2014,Tuesday,3,7957
12/31/2014,Wednesday,4,6031
1/1/2015,Thursday,5,4794
1/2/2015,Friday,6,6643
1/3/2015,Saturday,7,5725
1/4/2015,Sunday,1,4151
1/5/2015,Monday,2,8658
1/6/2015,Tuesday,3,7340
1/7/2015,Wednesday,4,7119
1/8/2015,Thursday,5,9895
1/9/2015,Friday,6,6209
1/10/2015,Saturday,7,3306
1/11/2015,Sunday,1,5689
1/12/2015,Monday,2,7304
1/13/2015,Tuesday,3,9440
1/14/2015,Wednesday,4,7360
1/15/2015,Thursday,5,8748
1/16/2015,Friday,6,6789
1/17/2015,Saturday,7,3213
1/18/2015,Sunday,1,6505
1/19/2015,Monday,2,7698
1/20/2015,Tuesday,3,7506
1/21/2015,Wednesday,4,8382
1/22/2015,Thursday,5,5612
1/23/2015,Friday,6,8569
1/24/2015,Saturday,7,2526
1/25/2015,Sunday,1,3944
1/26/2015,Monday,2,5649
1/27/2015,Tuesday,3,6210
1/28/2015,Wednesday,4,6416
1/29/2015,Thursday,5,6847
1/30/2015,Friday,6,7930
1/31/2015,Saturday,7,10451
2/1/2015,Sunday,1,6010
2/2/2015,Monday,2,8135
2/3/2015,Tuesday,3,7213
2/4/2015,Wednesday,4,7515
2/5/2015,Thursday,5,7970
2/6/2015,Friday,6,9731
2/7/2015,Saturday,7,10731
2/8/2015,Sunday,1,4196
2/9/2015,Monday,2,6466
2/10/2015,Tuesday,3,8028
2/11/2015,Wednesday,4,4971
2/12/2015,Thursday,5,13715
2/13/2015,Friday,6,14013
2/14/2015,Saturday,7,17436
2/15/2015,Sunday,1,20641
2/16/2015,Monday,2,8607
2/17/2015,Tuesday,3,10049
2/18/2015,Wednesday,4,7264
2/19/2015,Thursday,5,5911
2/20/2015,Friday,6,9296
2/21/2015,Saturday,7,3464
2/22/2015,Sunday,1,6859
2/23/2015,Monday,2,7038
2/24/2015,Tuesday,3,4677
2/25/2015,Wednesday,4,9438
2/26/2015,Thursday,5,4375
2/27/2015,Friday,6,6727
2/28/2015,Saturday,7,7350
3/1/2015,Sunday,1,6513
3/2/2015,Monday,2,5290
3/3/2015,Tuesday,3,7946
3/4/2015,Wednesday,4,6074
3/5/2015,Thursday,5,5210
3/6/2015,Friday,6,10773
3/7/2015,Saturday,7,7035
3/8/2015,Sunday,1,5840
3/9/2015,Monday,2,7530
3/10/2015,Tuesday,3,5230
3/11/2015,Wednesday,4,10740
3/12/2015,Thursday,5,5019
3/13/2015,Friday,6,6979
3/14/2015,Saturday,7,13002
3/15/2015,Sunday,1,4843
3/16/2015,Monday,2,4683
3/17/2015,Tuesday,3,4973
3/18/2015,Wednesday,4,6455
3/19/2015,Thursday,5,7227
3/20/2015,Friday,6,7335
3/21/2015,Saturday,7,8126
3/22/2015,Sunday,1,3124
3/23/2015,Monday,2,8521
3/24/2015,Tuesday,3,5084
3/25/2015,Wednesday,4,5271
3/26/2015,Thursday,5,6503
3/27/2015,Friday,6,6748
3/28/2015,Saturday,7,3628
3/29/2015,Sunday,1,5690
3/30/2015,Monday,2,9161
3/31/2015,Tuesday,3,9447
4/1/2015,Wednesday,4,9213
4/2/2015,Thursday,5,7415
4/3/2015,Friday,6,10874
4/4/2015,Saturday,7,3869
4/5/2015,Sunday,1,4226
4/6/2015,Monday,2,8280
4/7/2015,Tuesday,3,6669
4/8/2015,Wednesday,4,12935
4/9/2015,Thursday,5,5864
4/10/2015,Friday,6,7984
4/11/2015,Saturday,7,3029
4/12/2015,Sunday,1,5942
4/13/2015,Monday,2,4403
4/14/2015,Tuesday,3,4919
4/15/2015,Wednesday,4,10518
4/16/2015,Thursday,5,9242
4/17/2015,Friday,6,5796
4/18/2015,Saturday,7,5627
4/19/2015,Sunday,1,4225
4/20/2015,Monday,2,8804
4/21/2015,Tuesday,3,8682
4/22/2015,Wednesday,4,5587
4/23/2015,Thursday,5,5175
4/24/2015,Friday,6,6495
4/25/2015,Saturday,7,5258
4/26/2015,Sunday,1,5597
4/27/2015,Monday,2,6041
4/28/2015,Tuesday,3,4525
4/29/2015,Wednesday,4,6419
4/30/2015,Thursday,5,5635
5/1/2015,Friday,6,7045
5/2/2015,Saturday,7,10394
5/3/2015,Sunday,1,4377
5/4/2015,Monday,2,9388
5/5/2015,Tuesday,3,6793
5/6/2015,Wednesday,4,6939
5/7/2015,Thursday,5,6495
5/8/2015,Friday,6,6798
5/9/2015,Saturday,7,303
5/10/2015,Sunday,1,7805
5/11/2015,Monday,2,6687
5/12/2015,Tuesday,3,6531
5/13/2015,Wednesday,4,6959
5/14/2015,Thursday,5,8326
5/15/2015,Friday,6,7819
5/16/2015,Saturday,7,6003
5/17/2015,Sunday,1,4315
5/18/2015,Monday,2,6627
5/19/2015,Tuesday,3,7829
5/20/2015,Wednesday,4,7777
5/21/2015,Thursday,5,3975
5/22/2015,Friday,6,4861
5/23/2015,Saturday,7,7135
5/24/2015,Sunday,1,7975
