date,dayOfWeek,dayOfWeekNumber,steps
10/24/2013,Thursday,5,10536
10/25/2013,Friday,6,12669
10/26/2013,Saturday,7,6057
10/27/2013,Sunday,1,6993
10/28/2013,Monday,2,3755
10/29/2013,Tuesday,3,14324
10/30/2013,Wednesday,4,12145
10/31/2013,Thursday,5,16846
11/1/2013,Friday,6,11011
11/2/2013,Saturday,7,10035
11/3/2013,Sunday,1,9617
11/4/2013,Monday,2,20988
11/5/2013,Tuesday,3,17303
11/6/2013,Wednesday,4,11348
11/7/2013,Thursday,5,9490
11/8/2013,Friday,6,9548
11/9/2013,Saturday,7,5509
11/10/2013,Sunday,1,7792
11/11/2013,Monday,2,11459
11/12/2013,Tuesday,3,8896
11/13/2013,Wednesday,4,9292
11/14/2013,Thursday,5,10279
11/15/2013,Friday,6,10329
11/16/2013,Saturday,7,3032
11/17/2013,Sunday,1,4851
11/18/2013,Monday,2,11569
11/19/2013,Tuesday,3,10894
11/20/2013,Wednesday,4,551
11/21/2013,Thursday,5,10931
11/22/2013,Friday,6,13317
11/23/2013,Saturday,7,5411
11/24/2013,Sunday,1,8610
11/25/2013,Monday,2,4407
11/26/2013,Tuesday,3,7182
11/27/2013,Wednesday,4,8483
11/28/2013,Thursday,5,10334
11/29/2013,Friday,6,9498
11/30/2013,Saturday,7,9583
12/1/2013,Sunday,1,12819
12/2/2013,Monday,2,8244
12/3/2013,Tuesday,3,9935
12/4/2013,Wednesday,4,1052
12/5/2013,Thursday,5,
12/6/2013,Friday,6,
12/7/2013,Saturday,7,
12/8/2013,Sunday,1,1761
12/9/2013,Monday,2,9209
12/10/2013,Tuesday,3,12644
12/11/2013,Wednesday,4,8663
12/12/2013,Thursday,5,9439
12/13/2013,Friday,6,10449
12/14/2013,Saturday,7,6928
12/15/2013,Sunday,1,5046
12/16/2013,Monday,2,9387
12/17/2013,Tuesday,3,9364
12/18/2013,Wednesday,4,11837
12/19/2013,Thursday,5,10121
12/20/2013,Friday,6,6855
12/21/2013,Saturday,7,380
12/22/2013,Sunday,1,8219
12/23/2013,Monday,2,6872
12/24/2013,Tuesday,3,4662
12/25/2013,Wednesday,4,7244
12/26/2013,Thursday,5,4751
12/27/2013,Friday,6,4932
12/28/2013,Saturday,7,9552
12/29/2013,Sunday,1,5063
12/30/2013,Monday,2,5188
12/31/2013,Tuesday,3,6106
1/1/2014,Wednesday,4,3849
1/2/2014,Thursday,5,11671
1/3/2014,Friday,6,7235
1/4/2014,Saturday,7,6564
1/5/2014,Sunday,1,5406
1/6/2014,Monday,2,9158
1/7/2014,Tuesday,3,10766
1/8/2014,Wednesday,4,9008
1/9/2014,Thursday,5,9732
1/10/2014,Friday,6,8034
1/11/2014,Saturday,7,6291
1/12/2014,Sunday,1,5427
1/13/2014,Monday,2,13073
1/14/2014,Tuesday,3,10140
1/15/2014,Wednesday,4,10004
1/16/2014,Thursday,5,10757
1/17/2014,Friday,6,11105
1/18/2014,Saturday,7,11463
1/19/2014,Sunday,1,6433
1/20/2014,Monday,2,7493
1/21/2014,Tuesday,3,10730
1/22/2014,Wednesday,4,10454
1/23/2014,Thursday,5,8388
1/24/2014,Friday,6,9877
1/25/2014,Saturday,7,3589
1/26/2014,Sunday,1,9103
1/27/2014,Monday,2,8050
1/28/2014,Tuesday,3,10238
1/29/2014,Wednesday,4,12530
1/30/2014,Thursday,5,13563
1/31/2014,Friday,6,13606
2/1/2014,Saturday,7,2413
2/2/2014,Sunday,1,3567
2/3/2014,Monday,2,11713
2/4/2014,Tuesday,3,12175
2/5/2014,Wednesday,4,10999
2/6/2014,Thursday,5,11777
2/7/2014,Friday,6,17022
2/8/2014,Saturday,7,6045
2/9/2014,Sunday,1,3639
2/10/2014,Monday,2,2038
2/11/2014,Tuesday,3,8751
2/12/2014,Wednesday,4,7884
2/13/2014,Thursday,5,12695
2/14/2014,Friday,6,5062
2/15/2014,Saturday,7,5305
2/16/2014,Sunday,1,13909
2/17/2014,Monday,2,10127
2/18/2014,Tuesday,3,10198
2/19/2014,Wednesday,4,11255
2/20/2014,Thursday,5,11194
2/21/2014,Friday,6,12557
2/22/2014,Saturday,7,2957
2/23/2014,Sunday,1,6903
2/24/2014,Monday,2,12556
2/25/2014,Tuesday,3,11554
2/26/2014,Wednesday,4,9526
2/27/2014,Thursday,5,10851
2/28/2014,Friday,6,9302
3/1/2014,Saturday,7,6098
3/2/2014,Sunday,1,5255
3/3/2014,Monday,2,10251
3/4/2014,Tuesday,3,11310
3/5/2014,Wednesday,4,12535
3/6/2014,Thursday,5,11811
3/7/2014,Friday,6,11322
3/8/2014,Saturday,7,8429
3/9/2014,Sunday,1,9794
3/10/2014,Monday,2,11424
3/11/2014,Tuesday,3,8682
3/12/2014,Wednesday,4,11201
3/13/2014,Thursday,5,10563
3/14/2014,Friday,6,10214
3/15/2014,Saturday,7,2940
3/16/2014,Sunday,1,1696
3/17/2014,Monday,2,13981
3/18/2014,Tuesday,3,11197
3/19/2014,Wednesday,4,10313
3/20/2014,Thursday,5,9336
3/21/2014,Friday,6,11680
3/22/2014,Saturday,7,4303
3/23/2014,Sunday,1,2174
3/24/2014,Monday,2,12339
3/25/2014,Tuesday,3,11645
3/26/2014,Wednesday,4,10567
3/27/2014,Thursday,5,9795
3/28/2014,Friday,6,12902
3/29/2014,Saturday,7,3808
3/30/2014,Sunday,1,5633
3/31/2014,Monday,2,11610
4/1/2014,Tuesday,3,8557
4/2/2014,Wednesday,4,9946
4/3/2014,Thursday,5,14303
4/4/2014,Friday,6,10322
4/5/2014,Saturday,7,6879
4/6/2014,Sunday,1,6747
4/7/2014,Monday,2,2383
4/8/2014,Tuesday,3,8442
4/9/2014,Wednesday,4,6977
4/10/2014,Thursday,5,9642
4/11/2014,Friday,6,3513
4/12/2014,Saturday,7,5609
4/13/2014,Sunday,1,11088
4/14/2014,Monday,2,11389
4/15/2014,Tuesday,3,11964
4/16/2014,Wednesday,4,8290
4/17/2014,Thursday,5,10777
4/18/2014,Friday,6,13490
4/19/2014,Saturday,7,8682
4/20/2014,Sunday,1,3221
4/21/2014,Monday,2,10763
4/22/2014,Tuesday,3,11033
4/23/2014,Wednesday,4,12364
4/24/2014,Thursday,5,12921
4/25/2014,Friday,6,12817
4/26/2014,Saturday,7,7481
4/27/2014,Sunday,1,6336
4/28/2014,Monday,2,10023
4/29/2014,Tuesday,3,9488
4/30/2014,Wednesday,4,10819
5/1/2014,Thursday,5,11690
5/2/2014,Friday,6,19576
5/3/2014,Saturday,7,13715
5/4/2014,Sunday,1,7476
5/5/2014,Monday,2,12905
5/6/2014,Tuesday,3,14243
5/7/2014,Wednesday,4,13951
5/8/2014,Thursday,5,11233
5/9/2014,Friday,6,16336
5/10/2014,Saturday,7,1684
5/11/2014,Sunday,1,9209
5/12/2014,Monday,2,12371
5/13/2014,Tuesday,3,13751
5/14/2014,Wednesday,4,10619
5/15/2014,Thursday,5,8641
5/16/2014,Friday,6,12280
5/17/2014,Saturday,7,9668
5/18/2014,Sunday,1,11114
5/19/2014,Monday,2,11709
5/20/2014,Tuesday,3,7978
5/21/2014,Wednesday,4,9708
5/22/2014,Thursday,5,7672
5/23/2014,Friday,6,16461
5/24/2014,Saturday,7,3807
5/25/2014,Sunday,1,6361
5/26/2014,Monday,2,4481
5/27/2014,Tuesday,3,11423
5/28/2014,Wednesday,4,10865
5/29/2014,Thursday,5,10120
5/30/2014,Friday,6,12729
5/31/2014,Saturday,7,6132
6/1/2014,Sunday,1,9543
6/2/2014,Monday,2,9723
6/3/2014,Tuesday,3,12315
6/4/2014,Wednesday,4,10925
6/5/2014,Thursday,5,13584
6/6/2014,Friday,6,8369
6/7/2014,Saturday,7,9100
6/8/2014,Sunday,1,4770
6/9/2014,Monday,2,8449
6/10/2014,Tuesday,3,8063
6/11/2014,Wednesday,4,10590
6/12/2014,Thursday,5,5425
6/13/2014,Friday,6,9182
6/14/2014,Saturday,7,8492
6/15/2014,Sunday,1,10278
6/16/2014,Monday,2,9073
6/17/2014,Tuesday,3,8989
6/18/2014,Wednesday,4,9786
6/19/2014,Thursday,5,5306
6/20/2014,Friday,6,10343
6/21/2014,Saturday,7,9085
6/22/2014,Sunday,1,8780
6/23/2014,Monday,2,221
6/24/2014,Tuesday,3,6435
6/25/2014,Wednesday,4,4916
6/26/2014,Thursday,5,13732
6/27/2014,Friday,6,6277
6/28/2014,Saturday,7,5595
6/29/2014,Sunday,1,3340
6/30/2014,Monday,2,7148
7/1/2014,Tuesday,3,6542
7/2/2014,Wednesday,4,9512
7/3/2014,Thursday,5,7011
7/4/2014,Friday,6,10583
7/5/2014,Saturday,7,5944
7/6/2014,Sunday,1,5299
7/7/2014,Monday,2,11446
7/8/2014,Tuesday,3,8403
7/9/2014,Wednesday,4,6253
7/10/2014,Thursday,5,7023
7/11/2014,Friday,6,13816
7/12/2014,Saturday,7,9296
7/13/2014,Sunday,1,5183
7/14/2014,Monday,2,8435
7/15/2014,Tuesday,3,6428
7/16/2014,Wednesday,4,11953
7/17/2014,Thursday,5,10581
7/18/2014,Friday,6,5472
7/19/2014,Saturday,7,9550
7/20/2014,Sunday,1,5699
7/21/2014,Monday,2,7394
7/22/2014,Tuesday,3,6643
7/23/2014,Wednesday,4,6159
7/24/2014,Thursday,5,7576
7/25/2014,Friday,6,9515
7/26/2014,Saturday,7,2745
7/27/2014,Sunday,1,6006
7/28/2014,Monday,2,5698
7/29/2014,Tuesday,3,6551
7/30/2014,Wednesday,4,5914
7/31/2014,Thursday,5,5105
8/1/2014,Friday,6,7941
8/2/2014,Saturday,7,6343
8/3/2014,Sunday,1,10997
8/4/2014,Monday,2,5052
8/5/2014,Tuesday,3,5390
8/6/2014,Wednesday,4,5296
8/7/2014,Thursday,5,5747
8/8/2014,Friday,6,3431
8/9/2014,Saturday,7,6046
8/10/2014,Sunday,1,5050
8/11/2014,Monday,2,8706
8/12/2014,Tuesday,3,6806
8/13/2014,Wednesday,4,10318
8/14/2014,Thursday,5,9519
8/15/2014,Friday,6,14616
8/16/2014,Saturday,7,7875
8/17/2014,Sunday,1,8377
8/18/2014,Monday,2,10166
8/19/2014,Tuesday,3,7837
8/20/2014,Wednesday,4,14155
8/21/2014,Thursday,5,8098
8/22/2014,Friday,6,11032
8/23/2014,Saturday,7,10768
8/24/2014,Sunday,1,6992
8/25/2014,Monday,2,10374
8/26/2014,Tuesday,3,10375
8/27/2014,Wednesday,4,7613
8/28/2014,Thursday,5,10563
8/29/2014,Friday,6,10612
8/30/2014,Saturday,7,4442
8/31/2014,Sunday,1,9917
9/1/2014,Monday,2,496
9/2/2014,Tuesday,3,10320
9/3/2014,Wednesday,4,10064
9/4/2014,Thursday,5,10355
9/5/2014,Friday,6,11745
9/6/2014,Saturday,7,9031
9/7/2014,Sunday,1,11240
9/8/2014,Monday,2,9631
9/9/2014,Tuesday,3,8349
9/10/2014,Wednesday,4,12689
9/11/2014,Thursday,5,10641
9/12/2014,Friday,6,12342
9/13/2014,Saturday,7,5913
9/14/2014,Sunday,1,9964
9/15/2014,Monday,2,7737
9/16/2014,Tuesday,3,9824
9/17/2014,Wednesday,4,7272
9/18/2014,Thursday,5,10324
9/19/2014,Friday,6,11630
9/20/2014,Saturday,7,2054
9/21/2014,Sunday,1,4256
9/22/2014,Monday,2,9745
9/23/2014,Tuesday,3,10946
9/24/2014,Wednesday,4,5932
9/25/2014,Thursday,5,10227
9/26/2014,Friday,6,9359
9/27/2014,Saturday,7,3023
9/28/2014,Sunday,1,9489
9/29/2014,Monday,2,4941
9/30/2014,Tuesday,3,11943
10/1/2014,Wednesday,4,6661
10/2/2014,Thursday,5,8833
10/3/2014,Friday,6,11896
10/4/2014,Saturday,7,11590
10/5/2014,Sunday,1,3662
10/6/2014,Monday,2,10083
10/7/2014,Tuesday,3,8603
10/8/2014,Wednesday,4,5663
10/9/2014,Thursday,5,12452
10/10/2014,Friday,6,12189
10/11/2014,Saturday,7,10558
10/12/2014,Sunday,1,11483
10/13/2014,Monday,2,7756
10/14/2014,Tuesday,3,8662
10/15/2014,Wednesday,4,7196
10/16/2014,Thursday,5,7809
10/17/2014,Friday,6,15296
10/18/2014,Saturday,7,1059
10/19/2014,Sunday,1,7682
10/20/2014,Monday,2,14733
10/21/2014,Tuesday,3,15051
10/22/2014,Wednesday,4,12124
10/23/2014,Thursday,5,15076
10/24/2014,Friday,6,7725
10/25/2014,Saturday,7,1593
10/26/2014,Sunday,1,3065
10/27/2014,Monday,2,4085
10/28/2014,Tuesday,3,9354
10/29/2014,Wednesday,4,7298
10/30/2014,Thursday,5,8349
10/31/2014,Friday,6,13519
11/1/2014,Saturday,7,7191
11/2/2014,Sunday,1,6048
11/3/2014,Monday,2,8965
11/4/2014,Tuesday,3,9604
11/5/2014,Wednesday,4,6151
11/6/2014,Thursday,5,9906
11/7/2014,Friday,6,10793
11/8/2014,Saturday,7,5920
11/9/2014,Sunday,1,3604
11/10/2014,Monday,2,9873
11/11/2014,Tuesday,3,9056
11/12/2014,Wednesday,4,6341
11/13/2014,Thursday,5,8762
11/14/2014,Friday,6,8939
11/15/2014,Saturday,7,4343
11/16/2014,Sunday,1,15569
11/17/2014,Monday,2,9230
11/18/2014,Tuesday,3,8195
11/19/2014,Wednesday,4,7518
11/20/2014,Thursday,5,8633
11/21/2014,Friday,6,11849
11/22/2014,Saturday,7,4145
11/23/2014,Sunday,1,5897
11/24/2014,Monday,2,7412
11/25/2014,Tuesday,3,4229
11/26/2014,Wednesday,4,4756
11/27/2014,Thursday,5,5809
11/28/2014,Friday,6,4546
11/29/2014,Saturday,7,3439
11/30/2014,Sunday,1,6064
12/1/2014,Monday,2,7365
12/2/2014,Tuesday,3,7554
12/3/2014,Wednesday,4,5381
12/4/2014,Thursday,5,9722
12/5/2014,Friday,6,8069
12/6/2014,Saturday,7,901
12/7/2014,Sunday,1,1536
12/8/2014,Monday,2,8746
12/9/2014,Tuesday,3,10285
12/10/2014,Wednesday,4,5294
12/11/2014,Thursday,5,7848
12/12/2014,Friday,6,9624
12/13/2014,Saturday,7,6783
12/14/2014,Sunday,1,8425
12/15/2014,Monday,2,9835
